Segmento,Estado,Regiao,IDSubcategoriaProduto,QuantidadeItens,Data,Pais,Nome Estado
Clube de Tênis,BA,Nordeste,402,4,"Monday, January 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,801,4,"Monday, January 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,301,4,"Monday, January 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Thursday, February 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Thursday, February 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Friday, March 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Friday, March 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Monday, April 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Monday, April 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,403,4,"Wednesday, May 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,203,4,"Wednesday, May 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Wednesday, May 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Wednesday, May 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Wednesday, May 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,203,4,"Saturday, June 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,403,4,"Saturday, June 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Saturday, June 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Saturday, June 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Saturday, June 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Monday, July 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Monday, July 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Monday, July 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,403,4,"Monday, July 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,203,4,"Monday, July 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Thursday, August 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Thursday, August 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,203,4,"Thursday, August 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Thursday, August 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,203,4,"Sunday, September 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Sunday, September 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Sunday, September 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Sunday, September 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Tuesday, October 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Tuesday, October 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Tuesday, October 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,203,4,"Tuesday, October 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Friday, November 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Friday, November 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Friday, November 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,302,4,"Friday, November 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,601,4,"Sunday, December 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,602,4,"Sunday, December 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Sunday, December 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,302,4,"Sunday, December 1, 2024",Brazil,Bahia
Clube de Tênis,PE,Nordeste,201,4,"Monday, August 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Monday, August 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,204,4,"Monday, August 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Thursday, September 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Thursday, September 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,204,4,"Thursday, September 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Saturday, October 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Saturday, October 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,204,4,"Saturday, October 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Tuesday, November 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Tuesday, November 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Tuesday, November 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Thursday, December 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Thursday, December 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Thursday, December 1, 2022",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Sunday, January 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Sunday, January 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Sunday, January 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Wednesday, February 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,403,4,"Wednesday, February 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,203,4,"Wednesday, February 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,603,4,"Wednesday, February 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,604,4,"Wednesday, February 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Wednesday, March 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,603,4,"Wednesday, March 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,604,4,"Wednesday, March 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,403,4,"Wednesday, March 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,203,4,"Wednesday, March 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,203,4,"Saturday, April 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Saturday, April 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,603,4,"Saturday, April 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,604,4,"Saturday, April 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,403,4,"Saturday, April 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,603,4,"Monday, May 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Monday, May 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Monday, May 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Monday, May 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Monday, May 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Thursday, June 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Thursday, June 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Thursday, June 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Thursday, June 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,603,4,"Thursday, June 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,603,4,"Saturday, July 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Saturday, July 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Saturday, July 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Saturday, July 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Saturday, July 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Tuesday, August 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Tuesday, August 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Tuesday, August 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Friday, September 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Friday, September 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Friday, September 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Sunday, October 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Sunday, October 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Sunday, October 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,801,4,"Wednesday, November 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Wednesday, November 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Wednesday, November 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Wednesday, November 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Wednesday, November 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Wednesday, November 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,204,4,"Wednesday, November 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Friday, December 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Friday, December 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,204,4,"Friday, December 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Friday, December 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Friday, December 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Friday, December 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,801,4,"Friday, December 1, 2023",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Monday, January 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Monday, January 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Monday, January 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,801,4,"Monday, January 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Monday, January 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Monday, January 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,204,4,"Monday, January 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,203,4,"Thursday, February 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Thursday, February 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,403,4,"Thursday, February 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Friday, March 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,203,4,"Friday, March 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,403,4,"Friday, March 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Monday, April 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,203,4,"Monday, April 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,403,4,"Monday, April 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Wednesday, May 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Wednesday, May 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Wednesday, May 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Wednesday, May 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Saturday, June 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Saturday, June 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Saturday, June 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Saturday, June 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Monday, July 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Monday, July 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,401,4,"Monday, July 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,402,4,"Monday, July 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,403,4,"Thursday, August 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Thursday, August 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Thursday, August 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Thursday, August 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Sunday, September 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Sunday, September 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,403,4,"Sunday, September 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Sunday, September 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,301,4,"Tuesday, October 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,201,4,"Tuesday, October 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,202,4,"Tuesday, October 1, 2024",Brazil,Pernambuco
Clube de Tênis,PE,Nordeste,403,4,"Tuesday, October 1, 2024",Brazil,Pernambuco
Clube de Tênis,PI,Nordeste,203,4,"Wednesday, February 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,603,4,"Wednesday, February 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,604,4,"Wednesday, February 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,301,4,"Wednesday, February 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,403,4,"Wednesday, February 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,403,4,"Wednesday, March 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,301,4,"Wednesday, March 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,203,4,"Wednesday, March 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,603,4,"Wednesday, March 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,604,4,"Wednesday, March 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,301,4,"Saturday, April 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,203,4,"Saturday, April 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,403,4,"Saturday, April 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,603,4,"Saturday, April 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,604,4,"Saturday, April 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,402,4,"Monday, May 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,201,4,"Monday, May 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,202,4,"Monday, May 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,603,4,"Monday, May 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,401,4,"Monday, May 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,603,4,"Thursday, June 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,201,4,"Thursday, June 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,202,4,"Thursday, June 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,401,4,"Thursday, June 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,402,4,"Thursday, June 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,603,4,"Saturday, July 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,401,4,"Saturday, July 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,402,4,"Saturday, July 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,201,4,"Saturday, July 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,202,4,"Saturday, July 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,401,4,"Tuesday, August 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,201,4,"Tuesday, August 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,202,4,"Tuesday, August 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,201,4,"Friday, September 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,202,4,"Friday, September 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,401,4,"Friday, September 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,401,4,"Sunday, October 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,201,4,"Sunday, October 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,202,4,"Sunday, October 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,801,4,"Wednesday, November 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,201,4,"Wednesday, November 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,202,4,"Wednesday, November 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,204,4,"Wednesday, November 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,301,4,"Wednesday, November 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,401,4,"Wednesday, November 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,402,4,"Wednesday, November 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,301,4,"Friday, December 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,801,4,"Friday, December 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,201,4,"Friday, December 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,202,4,"Friday, December 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,204,4,"Friday, December 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,401,4,"Friday, December 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,402,4,"Friday, December 1, 2023",Brazil,Piaui
Clube de Tênis,PI,Nordeste,801,4,"Monday, January 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,201,4,"Monday, January 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,202,4,"Monday, January 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,204,4,"Monday, January 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,301,4,"Monday, January 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,401,4,"Monday, January 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,402,4,"Monday, January 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,203,4,"Thursday, February 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,301,4,"Thursday, February 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,403,4,"Thursday, February 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,203,4,"Friday, March 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,403,4,"Friday, March 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,301,4,"Friday, March 1, 2024",Brazil,Piaui
Clube de Tênis,PI,Nordeste,203,4,"Monday, April 1, 2024",Brazil,Piaui
